100
1
Simcenter NASTRAN Case 1
0.
-1
300
4
60031
Solid Von Mises Stress
4893,753.40045
4894,765.03076
4895,569.2782
4896,393.5228
4897,491.41113
4898,516.93488
4899,281.11966
4900,268.51157
4901,95.50222
4902,275.55457
4903,317.979
4904,348.49564
4905,432.00317
4906,190.64685
4907,213.87245
4908,369.89038
4909,372.44803
4910,470.19107
4911,457.19266
4912,433.96811
4913,83.025017
4914,149.06419
4915,198.67052
4916,303.45132
4917,299.65274
4918,833.32239
4919,601.52802
4920,399.22104
4921,599.3418
4922,783.10382
4923,1176.6473
4924,627.44708
4925,950.99542
4926,4977.7896
4927,2747.553
4928,451.17392
4929,202.52582
4930,252.19412
4931,320.05716
4932,254.43184
4933,441.06244
4934,488.48615
4935,1522.1147
4936,325.69705
4937,501.06946
4938,329.70905
4939,892.76056
4940,749.15271
4941,531.24158
4942,844.23773
4943,648.38885
4944,653.49323
4945,1193.5387
4946,809.34778
4947,1161.4421
4948,1223.3071
4949,928.68549
4950,884.5741
4951,1391.9336
4952,941.92828
4953,1192.6119
4954,1315.2816
4955,1018.6044
4956,891.18146
4957,125.76757
4958,536.27753
4959,422.46313
4960,452.57797
4961,262.82434
4962,98.4832
4963,190.81499
4964,90.896736
4965,407.25195
4966,455.65298
4967,578.19244
4968,422.98184
4969,470.51648
4970,401.51562
4971,283.80902
4972,95.569168
4973,153.65775
4974,285.49304
4975,667.99219
4976,873.51373
4977,459.57465
4978,642.71527
4979,706.43829
4980,979.81921
4981,43.909729
4982,88.051361
4983,457.228
4984,130.25063
4985,307.06201
4986,246.09052
4987,225.72478
4988,105.05238
4989,495.10394
4990,279.98859
4991,266.14432
4992,304.599
4993,598.09796
4994,1800.0583
4995,295.75974
4996,259.34583
4997,234.56514
4998,324.91464
4999,385.63925
5000,276.65738
5001,502.66318
5002,252.4595
5003,118.80429
5004,383.90329
5005,233.94379
5006,845.1131
5007,1338.3904
5008,1175.3334
5009,1323.5449
5010,1289.5673
5011,1413.4377
5012,1137.4822
5013,1295.5671
5014,1181.064
5015,1125.7689
5016,1445.9702
5017,214.84998
5018,290.33905
5019,912.94043
5020,317.92099
5021,215.31041
5022,174.20702
5023,174.80438
5024,244.83792
5025,299.00943
5026,505.04642
5027,328.48444
5028,267.77744
5029,251.89722
5030,168.86641
5031,182.19873
5032,558.26758
5033,770.34833
5034,647.84552
5035,755.95728
5036,589.16217
5037,561.68054
5038,963.97766
5039,863.24963
5040,679.93524
5041,914.51208
5042,338.35571
5043,315.39264
5044,413.02991
5045,327.43533
5046,377.36163
5047,201.8497
5048,276.83136
5049,393.44073
5050,363.88184
5051,281.46426
5052,256.27258
5053,255.4651
5054,219.22392
5055,276.3653
5056,260.19489
5057,163.59236
5058,833.56128
5059,810.60645
5060,234.78694
5061,199.60417
5062,605.8089
5063,808.59979
5064,559.83936
5065,136.83861
5066,757.5257
5067,796.31403
5068,145.00731
5069,1938.181
5070,139.18852
5071,806.79895
5072,311.99991
5073,382.78204
5074,427.80762
5075,401.66269
5076,560.66785
5077,781.21826
5078,840.73022
5079,820.24579
5080,587.22406
5081,607.32483
5082,922.91821
5083,361.30219
5084,342.97906
5085,490.09286
5086,193.01445
5087,300.74673
5088,454.05328
5089,154.25273
5090,183.68369
5091,283.64255
5092,425.76273
5093,324.29263
5094,361.54041
5095,719.6228
5096,393.46588
5097,474.60379
5098,401.68188
5099,300.14499
5100,498.38593
5101,522.05408
5102,331.32919
5103,356.09329
5104,395.35562
5105,431.88992
5106,453.89838
5107,4585.3853
5108,460.75082
5109,312.85883
5110,319.60095
5111,396.14438
5112,319.0192
5113,333.40802
5114,329.18063
5115,405.83929
5116,499.81546
5117,169.47809
5118,363.28186
5119,519.62872
5120,449.97623
5121,342.35248
5122,308.94894
5123,275.48563
5124,189.82034
5125,373.32169
5126,348.76822
5127,530.24402
5128,510.53745
5129,743.83118
5130,1806.1429
5131,1808.9363
5132,2203.1833
5133,2035.2694
5134,2274.4873
5135,3510.2227
5136,4588.7427
5137,4233.6118
5138,3878.928
5139,4543.8325
5140,3694.8486
5141,3939.2539
5142,533.1839
5143,305.58206
5144,169.1333
5145,684.31372
5146,244.88144
5147,349.02832
5148,279.06082
5149,590.4104
5150,549.80847
5151,765.44934
5152,660.6886
5153,776.94519
5154,988.62225
5155,264.2886
5156,939.41449
5157,1285.8269
5158,421.34979
5159,293.979
5160,134.85999
5161,1289.9421
5162,1129.2483
5163,1122.6161
5164,853.45551
5165,1207.3477
5166,183.13919
5167,213.72185
5168,187.68456
5169,255.88626
5170,328.31079
5171,237.09767
5172,158.53766
5173,187.27211
5174,129.51978
5175,242.37123
5176,275.78424
5177,402.41479
5178,120.86278
5179,2913.3384
5180,252.84969
5181,180.81996
5182,436.39227
5183,70.596313
5184,772.49854
5185,717.87762
5186,429.47287
5187,519.98236
5188,708.18091
5189,1594.0356
5190,1520.3728
5191,1251.6824
5192,1470.551
5193,1269.1063
5194,506.43777
5195,350.86572
5196,502.21365
5197,428.06085
5198,358.02676
5199,291.61456
5200,572.09265
5201,532.68738
5202,500.29898
5203,494.95746
5204,729.552
5205,480.11255
5206,411.72528
5207,205.52664
5208,688.38452
5209,123.5687
5210,152.08719
5211,127.72659
5212,267.49185
5213,177.87489
5214,2641.8215
5215,164.27071
5216,307.55005
5217,420.49557
5218,382.39914
5219,411.08658
5220,382.19223
5221,502.77643
5222,195.73672
5223,349.40262
5224,209.55905
5225,153.11925
5226,286.14728
5227,209.82207
5228,179.31982
5229,535.97736
5230,775.51367
5231,330.54813
5232,281.25378
5233,675.8501
5234,360.59814
5235,669.28741
5236,1327.4707
5237,535.83795
5238,348.88678
5239,1069.6006
5240,1211.0645
5241,748.20612
5242,968.47864
5243,1467.7305
5244,1269.1104
5245,1379.4382
5246,211.64137
5247,509.99979
5248,366.27365
5249,231.81561
5250,163.63992
5251,277.27661
5252,891.29321
5253,969.87903
5254,911.26447
5255,180.65038
5256,782.0249
5257,1011.5871
5258,552.82745
5259,537.45129
5260,1275.7488
5261,1043.4741
5262,158.64731
5263,1079.7557
5264,849.12201
5265,944.02319
5266,1128.0828
5267,388.56256
5268,276.20276
5269,284.50888
5270,356.06747
5271,191.29611
5272,288.92154
5273,155.23155
5274,235.85406
5275,210.64587
5276,585.81238
5277,322.02246
5278,225.67697
5279,287.23492
5280,1716.8328
5281,170.57909
5282,233.64841
5283,201.04395
5284,190.26617
5285,192.62761
5286,177.74225
5287,3788.9983
5288,494.99509
5289,3707.4143
5290,2694.2642
5291,2451.3159
5292,3834.3804
5293,272.87708
5294,2521.1099
5295,2333.4221
5296,62.420429
5297,250.64796
5298,416.2038
5299,1356.8652
5300,386.73294
5301,216.0499
5302,275.88202
5303,453.55463
5304,189.08189
5305,2238.1831
5306,3527.6079
5307,2177.2769
5308,404.09637
5309,1502.3978
5310,292.8342
5311,490.66312
5312,190.21089
5313,377.64078
5314,646.24255
5315,3578.2822
5316,774.47241
5317,592.30157
5318,236.97995
5319,571.1958
5320,280.32288
5321,666.71521
5322,826.84174
5323,140.50764
5324,285.24438
5325,352.76761
5326,380.14417
5327,301.64047
5328,283.37961
5329,478.82397
5330,316.43793
5331,412.94876
5332,83.601959
5333,471.56332
5334,479.90631
5335,689.42194
5336,594.34686
5337,391.72281
5338,470.20221
5339,820.77655
5340,1159.2173
5341,1317.8462
5342,1274.1158
5343,997.03577
5344,645.75537
5345,865.92438
5346,375.92447
5347,197.49962
5348,861.29041
5349,1035.213
5350,1155.7837
5351,415.41046
5352,1150.0632
5353,970.47504
5354,757.3363
5355,853.84625
5356,1546.4933
5357,1535.4719
5358,394.55521
5359,376.85861
5360,295.14713
5361,145.37823
5362,314.94562
5363,637.34644
5364,600.66626
5365,440.17953
5366,707.75745
5367,694.23688
5368,134.75739
5369,125.01282
5370,130.47061
5371,172.05215
5372,199.56886
5373,329.43463
5374,219.12555
5375,301.61115
5376,217.48103
5377,248.43494
5378,1313.1853
5379,1440.2223
5380,464.71991
5381,699.17487
5382,219.55182
5383,179.46178
5384,255.91412
5385,210.4254
5386,446.41174
5387,426.52002
5388,189.96298
5389,101.22736
5390,217.80887
5391,64.273941
5392,174.63174
5393,130.27969
5394,176.01619
5395,1969.871
5396,127.29555
5397,121.46503
5398,153.76869
5399,365.32068
5400,493.90045
5401,325.48346
5402,859.42883
5403,300.97766
5404,189.16414
5405,441.59592
5406,1184.2925
5407,876.23364
5408,221.49423
5409,1539.7488
5410,729.39777
5411,317.04239
5412,627.26007
5413,546.11908
5414,1040.6917
5415,1281.5154
5416,310.5246
5417,344.10434
5418,570.96033
5419,243.30566
5420,930.47461
5421,848.82788
5422,355.51413
5423,662.71954
5424,167.43535
5425,636.8443
5426,439.82202
5427,739.3551
5428,408.06122
5429,131.27298
5430,104.05348
5431,783.14288
5432,120.6478
5433,65.319328
5434,148.91812
5435,771.46808
5436,341.89453
5437,532.54004
5438,835.13068
5439,685.34491
5440,1032.6725
5441,413.23111
5442,1334.4938
5443,1339.0892
5444,934.07239
5445,823.0484
5446,941.59485
5447,1270.4413
5448,735.56207
5449,239.66182
5450,309.62164
5451,287.5871
5452,248.69992
5453,222.27034
5454,327.44373
5455,154.44696
5456,246.1254
5457,170.56207
5458,190.82814
5459,1013.7389
5460,365.90729
5461,1065.1772
5462,1364.7008
5463,894.39618
5464,283.25073
5465,337.56622
5466,531.33618
5467,478.20554
5468,693.83972
5469,1204.6238
5470,689.70337
5471,1098.2776
5472,640.17041
